ae		A diphthong in the Latin language; used also by the Saxon writers.
aecidium		A form of fruit in the cycle of development of the Rusts or Brands, an order of fungi, formerly considered independent plants.
aedile		A magistrate in ancient Rome, who had the superintendence of public buildings, highways, shows, etc.; hence, a municipal officer.
aedileship		The office of an ædile.
aegean		Of or pertaining to the sea, or arm of the Mediterranean sea, east of Greece.
aegicrania		Sculptured ornaments, used in classical architecture, representing rams' heads or skulls.
aegilops		(Med.) An ulcer or fistula in the inner corner of the eye.
aegis		A shield or protective armor; -- applied in mythology to the shield of Jupiter which he gave to Minerva.
aegophony		Same as Egophony.
aegrotat		A medical certificate that a student is ill.
aeneid		The great epic poem of Virgil, of which the hero is Æneas.
aeneous		Colored like bronze.
aeolian		Of or pertaining to Æolia or Æolis, in Asia Minor, colonized by the Greeks, or to its inhabitants; æolic; as, the Æolian dialect.
aeolic		Æolian, 1; as, the Æolic dialect; the Æolic mode.
aeolipile		An apparatus consisting chiefly of a closed vessel (as a globe or cylinder) with one or more projecting bent tubes, through which steam is made to pass from the vessel, causing it to revolve.
aeolipyle		An apparatus consisting chiefly of a closed vessel (as a globe or cylinder) with one or more projecting bent tubes, through which steam is made to pass from the vessel, causing it to revolve.
aeolotropic		Exhibiting differences of quality or property in different directions; not isotropic.
aeolotropy		Difference of quality or property in different directions.
aeolus		The god of the winds.
aeon		A period of immeasurable duration; also, an emanation of the Deity. See Eon.
aeonian		Eternal; everlasting.
aepyornis		A gigantic bird found fossil in Madagascar.
aerate		To combine or charge with gas; usually with carbonic acid gas, formerly called fixed air.
aeration		Exposure to the free action of the air; airing; as, aëration of soil, of spawn, etc.
aerator		That which supplies with air; esp. an apparatus used for charging mineral waters with gas and in making soda water.
aerenchym		A secondary respiratory tissue or modified periderm, found in many aquatic plants and distinguished by the large intercellular spaces.
aerenchyma		A secondary respiratory tissue or modified periderm, found in many aquatic plants and distinguished by the large intercellular spaces.
aerial		Of or pertaining to the air, or atmosphere; inhabiting or frequenting the air; produced by or found in the air; performed in the air; as, aërial regions or currents.
aeriality		The state of being aërial; De Quincey.
aerially		Like, or from, the air; in an aërial manner.
aerie		The nest of a bird of prey, as of an eagle or hawk; also a brood of such birds; eyrie.
aeriferous		Conveying or containing air; air-bearing; as, the windpipe is an aëriferous tube.
aerification		The act of combining air with another substance, or the state of being filled with air.
aeriform		Having the form or nature of air, or of an elastic fluid; gaseous. Hence fig.: Unreal.
aerify		To infuse air into; to combine air with.
aero-		The combining form of the Greek word meaning air.
aerobic		Growing or thriving only in the presence of oxygen; also, pertaining to, or induced by, aërobies; as, aërobic fermentation. -- A`ër*o"bic*al*ly (#), adv.
aerobies		Microörganisms which live in contact with the air and need oxygen for their growth; as the microbacteria which form on the surface of putrefactive fluids.
aerobiotic		Related to, or of the nature of, aërobies; as, aërobiotic plants, which live only when supplied with free oxygen.
aeroboat		A form of hydro-aëroplane; a flying boat.
aerobus		An aëroplane or airship designed to carry passengers.
aeroclub		A club or association of persons interested in aëronautics.
aerocurve		A modification of the aëroplane, having curved surfaces, the advantages of which were first demonstrated by Lilienthal.
aerocyst		One of the air cells of algals.
aerodonetics		The science of gliding and soaring flight.
aerodynamic		Pertaining to the force of air in motion.
