cyamelide		A white amorphous substance, regarded as a polymeric modification of isocyanic acid.
cyamellone		A complex derivative of cyanogen, regarded as an acid, and known chiefly in its salts; -- called also hydromellonic acid.
cyanate		A salt of cyanic acid.
cyanaurate		See Aurocyanide — a double cyanide of gold and some other metal or radical; -- called also cyanaurate.
cyanean		Having an azure color.
cyanic		Pertaining to, or containing, cyanogen.
cyanide		A compound formed by the union of cyanogen with an element or radical.
cyanin		The blue coloring matter of flowers; -- called also anthokyan and anthocyanin.
cyanine		One of a series of artificial blue or red dyes obtained from quinoline and lepidine and used in calico printing.
cyanite		A mineral occuring in thin-bladed crystals and crystalline aggregates, of a sky-blue color.
cyanogen		A colorless, inflammable, poisonous gas, C2N2, with a peach- blossom odor, so called from its tendency to form blue compounds; obtained by heating ammonium oxalate, mercuric cyanide, etc. It is obtained in combination…
cyanometer		An instrument for measuring degress of blueness.
cyanopathy		A disease in which the body is colored blue in its surface, arising usually from a malformation of the heart, which causes an imperfect arterialization of the blood; blue jaundice.
cyanophyll		A blue coloring matter supposed by some to be one of the component parts ofchlorophyll.
cyanosed		Rendered blue, as the surface of the body, from cyanosis or deficient a
cyanosis		A condition in which, from insufficient aCyanopathy.
cyanosite		Native sulphate of copper.
cyanotic		Relating to cyanosis; affected with cyanosis; as, a cyanotic patient; having the hue caused by cyanosis; as, a cyanitic skin.
cyanotype		A photographic picture obtained by the use of a cyanide.
cyanurate		A salt of cyanuric acid.
cyanuret	Obsolete	A cyanide.
cyanuric		Pertaining to, or derived from, cyanic and uric acids.
cyathiform		In the form of a cup, a little widened at the top.
cyatholith		A kind of coccolith, which in shape resembles a minute cup widened at the top, and varies in size from
cyathophylloid		Like, or pertaining to, the family Cyathophyllidæ.
cycad		Any plant of the natural order Cycadeceæ, as the sago palm, etc.
cycadaceous		Pertaining to, or resembling, an order of plants like the palms, but having exogenous wood.
cycas		A genus of trees, intermediate in character between the palms and the pines.
cyclamen		A genus of plants of the Primrose family, having depressed rounded corms, and pretty nodding flowers with the petals so reflexed as to point upwards, whence it is called rabbit's ears.
cyclamin		A white amorphous substance, regarded as a glucoside, extracted from the corm of Cyclamen Europæum.
cyclas		A long gown or surcoat (cut off in front), worn in the Middle Ages.
cycle		An imaginary circle or orbit in the heavens; one of the celestial spheres.
cyclic		Of or pertaining to a cycle or circle; moving in cycles; as, cyclical time.
cyclical		Of or pertaining to a cycle or circle; moving in cycles; as, cyclical time.
cyclide		A surface of the fourth degree, having certain special relations to spherical surfaces.
cycling		The act, art, or practice, of riding a cycle, esp. a bicycle or tricycle.
cyclist		A cycler.
cyclo-		A combining form meaning circular, of a circle or wheel.
cyclobranchiate		Having the gills around the margin of the body, as certain limpets.
cycloganoid		Of or pertaining to the Cycloganoidei.
cycloganoidei		An order of ganoid fishes, having cycloid scales.
cyclograph		See Arcograph — an instrument for drawing a circular arc without the use of a central point; a cyclograph.
cycloid		A curve generated by a point in the plane of a circle when the circle is rolled along a straight line, keeping always in the same plane.
cycloidal		Pertaining to, or resembling, a cycloid; as, the cycloidal space is the space contained between a cycloid and its base.
cycloidei		An order of fishes, formerly proposed by Agassiz, for those with thin, smooth scales, destitute of marginal spines, as the herring and salmon.
cycloidian		Same as 2d and 3d Cycloid.
cyclometer		A contrivance for recording the revolutions of a wheel, as of a bicycle.
cyclometry		The art of measuring circles.
cyclone		A violent storm, often of vast extent, characterized by high winds rotating about a calm center of low atmospheric pressure.
cyclonic		Pertaining to a cyclone.
cyclonoscope		An apparatus to assist in locating the center of a cyclone.
cyclop		See Note under Cyclops, 1.
cyclopaedia		The circle or compass of the arts and sciences (originally, of the seven so-called liberal arts and sciences); circle of human knowledge.
cyclopean		Pertaining to the Cyclops; characteristic of the Cyclops; huge; gigantic; vast and rough; massive; as, Cyclopean labors; Cyclopean architecture.
cyclopedia		The circle or compass of the arts and sciences (originally, of the seven so-called liberal arts and sciences); circle of human knowledge.
cyclopedic		Belonging to the circle of the sciences, or to a cyclopedia; of the nature of a cyclopedia; hence, of great range, extent, or amount; as, a man of cyclopedic knowledge.
cyclopedist		A maker of, or writer for, a cyclopedia.
cyclopic		Pertaining to the Cyclops; Cyclopean.
cyclops		(Gr. Myth.) One of a race of giants, sons of Neptune and Amphitrite, having but one eye, and that in the middle of the forehead.
cyclorama		A pictorial view which is extended circularly, so that the spectator is surrounded by the objects represented as by things in nature.
cycloscope		A machine for measuring at any moment velocity of rotation, as of a wheel of a steam engine.
cyclosis		The circulation or movement of protoplasmic granules within a living vegetable cell.
cyclostome		A division of Bryozoa, in which the cells have circular apertures.
cyclostomi		A glass of fishes having a suckerlike mouth, without jaws, as the lamprey; the Marsipobranchii.
cyclostomous		Pertaining to the Cyclostomi.
cyclostylar		Relating to a structure composed of a circular range of columns, without a core or building within.
cyclostyle		A contrivance for producing manifold copies of writing or drawing.
cyder	Archaic	See Cider — the expressed juice of apples.
cydonin		A peculiar mucilaginous substance extracted from the seeds of the quince (Cydonia vulgaris), and regarded as a variety of amylose.
cygnet		A young swan.
cygnus		A constellation of the northern hemisphere east of, or following, Lyra; the Swan.
cylinder		(Geom.) (a) A solid body which may be generated by the rotation of a parallelogram round one its sides; or a body of rollerlike form, of which the longitudinal section is oblong, and the cross section is circular.
cylindraceous		Cylindrical, or approaching a cylindrical form.
cylindric		Having the form of a cylinder, or of a section of its convex surface; partaking of the properties of the cylinder.
cylindrical		Having the form of a cylinder, or of a section of its convex surface; partaking of the properties of the cylinder.
cylindrically		In the manner or shape of a cylinder; so as to be cylindrical.
cylindricity		The quality or condition of being cylindrical.
cylindriform		Having the form of a cylinder.
