iamatology		Materia Medica; that branch of therapeutics which treats of remedies.
iamb		An iambus or iambic.
iambic		(Pros.) Consisting of a short syllable followed by a long one, or of an unaccented syllable followed by an accented; as, an iambic foot.
iambically		In a iambic manner; after the manner of iambics.
iambize		To satirize in iambics; to lampoon.
iambus		A foot consisting of a short syllable followed by a long one, as in âmans, or of an unaccented syllable followed by an accented one, as invent; an iambic.
ianthina		Any gastropod of the genus Ianthina, of which various species are found living in mid ocean; -- called also purple shell, and violet snail.
iatraliptic		Treating diseases by anointing and friction; as, the iatraliptic method.
iatric		Of or pertaining to medicine, or to medical men.
iatrical		Of or pertaining to medicine, or to medical men.
iatrochemical		Of or pertaining to iatrochemistry, or to the iatrochemists.
iatrochemist		A physician who explained or treated diseases upon chemical principles; one who practiced iatrochemistry.
iatrochemistry		Chemistry applied to, or used in, medicine; -- used especially with reference to the doctrines in the school of physicians in Flanders, in the 17th century…
iatromathematical		Of or pertaining to iatromathematicians or their doctrine.
iatromathematician		One of a school of physicians in Italy, about the middle of the 17th century, who tried to apply the laws of mechanics and mathematics to the human body, and hence were eager student of anatomy; -- opposed to the iatrochemists.
