ogam		Same as Ogham.
ogdoad		A thing made up of eight parts.
ogdoastich	Obsolete	A poem of eight lines.
ogee		(Arch.) A molding, the section of which is the form of the letter S, with the convex part above; cyma reversa.
ogganition		Snarling; grumbling.
ogham		A particular kind of writing practiced by the ancient Irish, and found in inscriptions on stones, metals, etc.
ogive		The arch or rib which crosses a Gothic vault diagonally.
ogle		To view or look at with side glances, as in fondness, or with a design to attract notice.
ogler		One who ogles.
oglio		See Olio — (Mus.) A collection of miscellaneous pieces.
ogre		An imaginary monster, or hideous giant of fairy tales, who lived on human beings; hence, any frightful giant; a cruel monster.
ogreish		Resembling an ogre; having the character or appearance of an ogre; suitable for an ogre.
ogreism		The character or manners of an ogre.
ogress		A female ogre.
ogrism		The character or manners of an ogre.
ogygian		Of or pertaining to Ogyges, a mythical king of ancient Attica, or to a great deluge in Attica in his days; hence, primeval; of obscure antiquity.
