tiar	Poetic	A tiara.	
tiara		A form of headdress worn by the ancient Persians.	
tiaraed		Adorned with, or wearing, a tiara.	
tib-cat	English dialect	A female cat.	
tibia		(Anat.) The inner, or preaxial, and usually the larger, of the two bones of the leg or hind limb below the knee.	
tibial		Of or pertaining to a tibia.	Latin tibialis.
tibiale		The bone or cartilage of the tarsus which articulates with the tibia and corresponds to a part of the astragalus in man and most mammals.	
tibicinate		To play on a tibia, or pipe.	
tibio-		A combining form used in anatomy to indicate connection with, or relation to, the tibia; as, tibiotarsus, tibiofibular.	
tibiotarsal		(a) Of or pertaining to both to the tibia and the tarsus; as, the tibiotarsal articulation.	
tibiotarsus		The large bone between the femur and tarsometatarsus in the leg of a bird.	
tibrie	English dialect	The pollack.	
tic		A local and habitual convulsive motion of certain muscles; especially, such a motion of some of the muscles of the face; twitching; velication; -- called also spasmodic tic.	French tic.
tical		A bean-shaped coin of Siam, worth about sixty cents; also, a weight equal to 236 grains troy.	
tice	Obsolete	To entice.	
ticement	Obsolete	Enticement.	
tichorrhine		A fossil rhinoceros with a vertical bony medial septum supporting the nose; the hairy rhinoceros.	
tick		Credit; trust; as, to buy on, or upon, tick.	
ticken		See Ticking — a strong, closely woven linen or cotton fabric, of which ticks for beds are made.	
ticker		One who, or that which, ticks, or produces a ticking sound, as a watch or clock, a telegraphic sounder, etc. Ticker tape Tape from or designed to be used in a stock ticker…	
ticket		To distinguish by a ticket; to put a ticket on; as, to ticket goods.	Old French estiquet.
ticketing		A periodical sale of ore in the English mining districts; -- so called from the tickets upon which are written the bids of the buyers.	
ticking		A strong, closely woven linen or cotton fabric, of which ticks for beds are made.	
tickle		To touch lightly, so as to produce a peculiar thrilling sensation, which commonly causes laughter, and a kind of spasm which become dengerous if too long protracted.	Middle English tikelen.
tickle-footed	Obsolete	Uncertain; inconstant; slippery.	
ticklenburg		A coarse, mixed linen fabric made to be sold in the West Indies.	
tickleness	Obsolete	Unsteadiness.	
tickler		One who, or that which, tickles.	
ticklish		Sensible to slight touches; easily tickled; as, the sole of the foot is very ticklish; the hardened palm of the hand is not ticklish.	
tickseed		A seed or fruit resembling in shape an insect, as that of certain plants.	
ticktack		A noise like that made by a clock or a watch.	
ticpolonga		A very venomous viper (Daboia Russellii), native of Ceylon and India; -- called also cobra monil.	
tid		Tender; soft; nice; -- now only used in tidbit.	
tidal		Of or pertaining to tides; caused by tides; having tides; periodically rising and falling, or following and ebbing; as, tidal waters.	
tidbit		A delicate or tender piece of anything eatable; a delicious morsel.	
tidde		imp. of Tide, v. i.	
tidder	Obsolete	To use with tenderness; to fondle.	
tiddle	Obsolete	To use with tenderness; to fondle.	
tiddledywinks		A game in which the object is to snap small disks of bone, ivory, or the like, from a flat surface, as of a table, into a small cup or basket; --called also tiddlywinks.	
tiddlywinks		Same as Tiddledywinks.	
tide		The alternate rising and falling of the waters of the ocean, and of bays, rivers, etc., connected therewith.	Middle English tiden.
tide-rode		Swung by the tide when at anchor; -- opposed to wind-rode.	
tided		Affected by the tide; having a tide.	
tideland		Land that is overflowed by tide water; hence, land near the sea.	
tideless		Having no tide.	
tidesman		A customhouse officer who goes on board of a merchant ship to secure payment of the duties; a tidewaiter.	
tidewaiter		A customhouse officer who watches the landing of goods from merchant vessels, in order to secure payment of duties.	
tideway		Channel in which the tide sets.	
tidife	English dialect	The blue titmouse.	
tidily		In a tidy manner.	
tidiness		The quality or state of being tidy.	
tiding	Obsolete	Tidings.	
tidings		Account of what has taken place, and was not before known; news.	
tidley	English dialect	(a) The wren. (b) The goldcrest.	
tidology		A discourse or treatise upon the tides; that part of science which treats of tides.	
tidy	English dialect	The wren; -- called also tiddy.	
tidytips		A California composite plant (Layia platyglossa), the flower of which has yellow rays tipped with white.	
tie		A bond; an obligation, moral or legal; as, the sacred ties of friendship or of duty; the ties of allegiance.	Old English tigan.
tie-rod		A rod used as a tie. See Tie.	
tiebar		A flat bar used as a tie.	
tiebeam		A beam acting as a tie, as at the bottom of a pair of principal rafters, to prevent them from thrusting out the wall.	
tienda		In Cuba, Mexico, etc., a booth, stall, or shop where merchandise is sold.	
tier		One who, or that which, ties.	
tierce		A cask whose content is one third of a pipe; that is, forty-two wine gallons; also, a liquid measure of forty-two wine, or thirty- five imperial, gallons.	Old French tierce.
tierce-major		See Tierce, 4.	
tiercel		The male of various falcons, esp. of the peregrine; also, the male of the goshawk.	Middle French terçuel, from Latin tertiolus.
tiercelet		The male of various falcons, esp. of the peregrine; also, the male of the goshawk.	
tiercet		A triplet; three lines, or three lines rhyming together.	French tercet.
tietick	English dialect	The meadow pipit..	
tiewig		A wig having a tie or ties, or one having some of the curls tied up; also, a wig tied upon the head.	
tiff		Liquor; especially, a small draught of liquor.	Middle English tiffen.
tiffany		A species of gause, or very silk.	
tiffin		A lunch, or slight repast between breakfast and dinner; -- originally, a Provincial English word, but introduced into India, and brought back to England in a special sense.	
tiffish		Inclined to tiffs; peevish; petulant.	
tift		A fit of pettishness, or slight anger; a tiff.	
tig		A game among children. See Tag.	
tigella		That part of an embryo which represents the young stem; the caulicle or radicle.	
tigelle		Same as Tigella.	
tiger		A very large and powerful carnivore (Felis tigris) native of Southern Asia and the East Indies.	Middle English tygre.
tiger-eye		A siliceous stone of a yellow color and chatoyant luster, obtained in South Africa and much used for ornament.	
tiger-foot		Same as Tiger's-foot.	
tiger-footed		Hastening to devour; furious.	
tigerine		Tigerish; tigrine.	
tigerish		Like a tiger; tigrish.	
tigh	Obsolete	A close, or inclosure; a croft.	
tight		p. p. of Tie — a bond; an obligation, moral or legal; as, the sacred ties of friendship or of duty; the ties of allegiance.	Middle English thight, from Old Norse þéttr.
tighten		To draw tighter; to straiten; to make more close in any manner.	Old English tyhtan.
tightener		That which tightens; specifically (Mach.), a tightening pulley.	
tighter	Obsolete	A ribbon or string used to draw clothes closer.	
tightly		In a tight manner; closely; nearly.	
tightness		The quality or condition of being tight.	
tights		Close-fitting garments, especially for the lower part of the body and the legs.	
tiglic		Of, pertaining to, or designating, an acid, C4H7CO2H (called also methyl crotonic acid), homologous with crotonic acid, and obtained from croton oil (from Croton Tiglium) as a white crystalline substance.	
tigress		The female of the tiger.	
tigrine		Of or pertaining to a tiger; like a tiger.	Latin tigrinus.
tigrish		Resembling a tiger; tigerish.	
