uva		A small pulpy or juicy fruit containing several seeds and having a thin skin, as a grape.	Latin uva.
uva-ursi		The bearberry.	
uvate		A conserve made of grapes.	
uvea		The posterior pigmented layer of the iris; -- sometimes applied to the whole iris together with the choroid coat.	
uveous		Resembling a grape.	
uvic		Pertaining to, or obtained from, grapes; specifically, designating an organic acid, C7H8O3 (also called pyrotritartaric acid), obtained as a white crystalline substance by the decomposition of tartaric and pyrotartaric acids.	
uvitic		Pertaining to, or designating, an acid, CH3C6H3(CO2H)2, obtained as a white crystalline substance by the partial oxidation of mesitylene; -- called also mesitic acid.	
uvitonic		Pertaining to, or designating, an acid which is obtained as a white crystalline substance by the action of ammonia on pyrotartaric acid.	
uvrou		See Euphroe — a block or long slat of wood, perforated for the passage of the crowfoot, or cords by which an awning is held up.	
uvula		The pendent fleshy lobe in the middle of the posterior border of the soft palate.	Latin uvula.
uvular		Of or pertaining to a uvula.	
uvulatome		An instrument for removing the uvula.	
uvulatomy		The operation of removing the uvula.	
uvulitis		Inflammation of the uvula.	
